period,industry,weight
2024-06-09,高端装备,0.07492784
2024-06-16,传统能源,0.31947213
2024-06-16,化工,0.0028931473
2024-06-16,医药,0.006206989
2024-06-16,半导体与信息技术,0.09402902
2024-06-16,房地产,0.02738525
2024-06-16,旅游,0.09402902
2024-06-16,消费,0.08408781
2024-06-16,电动车新能源,0.25535265
2024-06-16,金融,0.022515032
2024-06-16,高端装备,0.09402902
2024-06-23,传统能源,0.21629423
2024-06-23,化工,0.0392123
2024-06-23,医药,0.0015265929
2024-06-23,半导体与信息技术,0.26841402
2024-06-23,房地产,0.088625796
2024-06-23,旅游,0.018572913
2024-06-23,消费,0.08146776
2024-06-23,电动车新能源,0.03041982
2024-06-23,金融,0.20566292
2024-06-23,高端装备,0.049803603
2024-06-30,传统能源,0.27598578
2024-06-30,化工,0.08405781
2024-06-30,医药,0.07662055
2024-06-30,半导体与信息技术,0.0063953837
2024-06-30,房地产,0.031349383
2024-06-30,旅游,0.2782264
2024-06-30,消费,0.012019749
2024-06-30,电动车新能源,0.005790209
2024-06-30,金融,0.2169065
2024-06-30,高端装备,0.012648234
2024-07-07,传统能源,0.08223761
2024-07-07,化工,0.03163339
2024-07-07,医药,0.03163339
2024-07-07,半导体与信息技术,0.09316243
2024-07-07,房地产,0.34296128
2024-07-07,旅游,0.2265744
2024-07-07,消费,0.046911668
2024-07-07,电动车新能源,0.03163339
2024-07-07,金融,0.046911668
2024-07-07,高端装备,0.06634067
2024-07-14,传统能源,0.025412953
2024-07-14,化工,0.0833344
2024-07-14,医药,0.060671043
2024-07-14,半导体与信息技术,0.2578553
2024-07-14,房地产,0.027545298
2024-07-14,旅游,0.067793176
2024-07-14,消费,0.038085427
2024-07-14,电动车新能源,0.21330002
2024-07-14,金融,0.1967891
2024-07-14,高端装备,0.029213315
2024-07-21,传统能源,0.03529136
2024-07-21,化工,0.06693027
2024-07-21,医药,0.17451441
2024-07-21,半导体与信息技术,0.06693027
2024-07-21,房地产,0.03629051
2024-07-21,旅游,0.17451441
2024-07-21,消费,0.25568005
2024-07-21,电动车新能源,0.06693027
2024-07-21,金融,0.05598826
2024-07-21,高端装备,0.06693027
2024-07-28,传统能源,0.033972934
2024-07-28,化工,0.052914184
2024-07-28,医药,0.02505769
2024-07-28,半导体与信息技术,0.017995019
2024-07-28,房地产,0.15912527
2024-07-28,旅游,0.017995019
2024-07-28,消费,0.20114654
2024-07-28,电动车新能源,0.034991246
2024-07-28,金融,0.20114654
2024-07-28,高端装备,0.25565562
2024-08-04,传统能源,0.009833396
2024-08-04,化工,0.09011943
2024-08-04,医药,0.17069635
2024-08-04,半导体与信息技术,0.068112046
2024-08-04,房地产,0.17791943
2024-08-04,旅游,0.24044892
2024-08-04,消费,0.010355465
2024-08-04,电动车新能源,0.068112046
2024-08-04,金融,0.055368084
2024-08-04,高端装备,0.10903478
2024-08-11,传统能源,0.06904211
2024-08-11,化工,0.028034221
2024-08-11,医药,0.08779628
2024-08-11,半导体与信息技术,0.023898698
2024-08-11,房地产,0.20672712
2024-08-11,旅游,0.14261599
2024-08-11,消费,0.22434561
2024-08-11,电动车新能源,0.08876618
2024-08-11,金融,0.113995224
2024-08-11,高端装备,0.014778587
2024-08-18,传统能源,0.10251417
2024-08-18,化工,0.10251417
2024-08-18,医药,0.083411485
2024-08-18,半导体与信息技术,0.10251417
2024-08-18,房地产,0.100501165
2024-08-18,旅游,0.100501165
2024-08-18,消费,0.10251417
2024-08-18,电动车新能源,0.10251417
2024-08-18,金融,0.100501165
2024-08-18,高端装备,0.10251417
2024-08-25,传统能源,0.034587964
2024-08-25,化工,0.13378611
2024-08-25,医药,0.08722867
2024-08-25,半导体与信息技术,0.06573706
2024-08-25,房地产,0.13111266
2024-08-25,旅游,0.063084446
2024-08-25,消费,0.062526755
2024-08-25,电动车新能源,0.0027177385
2024-08-25,金融,0.2603132
2024-08-25,高端装备,0.15890539
2024-09-01,传统能源,0.06770497
2024-09-01,化工,0.26095083
2024-09-01,医药,0.0060354983
2024-09-01,半导体与信息技术,0.050447598
2024-09-01,房地产,0.0060354983
2024-09-01,旅游,0.036265537
2024-09-01,消费,0.01989328
2024-09-01,电动车新能源,0.230673
2024-09-01,金融,0.060891405
2024-09-01,高端装备,0.2611024
2024-09-08,传统能源,0.082572825
2024-09-08,化工,0.0033143589
2024-09-08,医药,0.026697338
2024-09-08,半导体与信息技术,0.0033143589
2024-09-08,房地产,0.028942456
2024-09-08,旅游,0.16063423
2024-09-08,消费,0.06451914
2024-09-08,电动车新能源,0.26419157
2024-09-08,金融,0.20517953
2024-09-08,高端装备,0.16063423
2024-09-15,传统能源,0.0025646274
2024-09-15,化工,0.08649498
2024-09-15,医药,0.04466402
2024-09-15,半导体与信息技术,0.24325737
2024-09-15,房地产,0.24750116
2024-09-15,旅游,0.07769069
2024-09-15,消费,0.0029466618
2024-09-15,电动车新能源,0.029691536
2024-09-15,金融,0.04466402
2024-09-15,高端装备,0.22052489
2024-09-22,传统能源,0.16259594
2024-09-22,化工,0.09177928
2024-09-22,医药,0.004824914
2024-09-22,半导体与信息技术,0.004824914
2024-09-22,房地产,0.21973836
2024-09-22,旅游,0.14616966
2024-09-22,消费,0.004824914
2024-09-22,电动车新能源,0.15172097
2024-09-22,金融,0.20869602
2024-09-22,高端装备,0.004824914
2024-09-29,传统能源,0.13879907
2024-09-29,化工,0.05193128
2024-09-29,医药,0.05193128
2024-09-29,半导体与信息技术,0.03154191
2024-09-29,房地产,0.21015343
2024-09-29,旅游,0.029509043
2024-09-29,消费,0.13879907
2024-09-29,电动车新能源,0.21837784
2024-09-29,金融,0.05443506
2024-09-29,高端装备,0.074522085
2024-10-06,传统能源,0.072186895
2024-10-06,化工,0.040276118
2024-10-06,医药,0.09390297
2024-10-06,半导体与信息技术,0.14457217
2024-10-06,房地产,0.0584758
2024-10-06,旅游,0.024411444
2024-10-06,消费,0.017165903
2024-10-06,电动车新能源,0.23575231
2024-10-06,金融,0.09145095
2024-10-06,高端装备,0.2218054
2024-10-13,传统能源,0.25168443
2024-10-13,化工,0.042690787
2024-10-13,医药,0.0056810817
2024-10-13,半导体与信息技术,0.25435156
2024-10-13,房地产,0.0045154835
2024-10-13,旅游,0.020463455
2024-10-13,消费,0.10451618
2024-10-13,电动车新能源,0.034046996
2024-10-13,金融,0.2391823
2024-10-13,高端装备,0.04286771
2024-10-20,传统能源,0.045655932
2024-10-20,化工,0.005004292
2024-10-20,医药,0.03309731
2024-10-20,半导体与信息技术,0.18005377
2024-10-20,房地产,0.2531647
2024-10-20,旅游,0.003911008
2024-10-20,消费,0.02045327
2024-10-20,电动车新能源,0.18005377
2024-10-20,金融,0.2531647
2024-10-20,高端装备,0.025441198
2024-10-27,传统能源,0.23819989
2024-10-27,化工,0.08971995
2024-10-27,医药,0.23819989
2024-10-27,半导体与信息技术,0.0533659
2024-10-27,房地产,0.0065042144
2024-10-27,旅游,0.059257723
2024-10-27,消费,0.004522749
2024-10-27,电动车新能源,0.13597518
2024-10-27,金融,0.052676927
2024-10-27,高端装备,0.12157766
2024-11-03,传统能源,0.06903715
2024-11-03,化工,0.059671015
2024-11-03,医药,0.17648074
2024-11-03,半导体与信息技术,0.10466039
2024-11-03,房地产,0.12675901
2024-11-03,旅游,0.059671015
2024-11-03,消费,0.0027945896
2024-11-03,电动车新能源,0.059671015
2024-11-03,金融,0.24084035
2024-11-03,高端装备,0.100414634
2024-11-10,传统能源,0.2119822
2024-11-10,化工,0.000903083
2024-11-10,医药,0.10740841
2024-11-10,半导体与信息技术,0.22989619
2024-11-10,房地产,0.12113701
2024-11-10,旅游,0.15169463
2024-11-10,消费,0.03796202
2024-11-10,电动车新能源,0.024863351
2024-11-10,金融,0.03796202
2024-11-10,高端装备,0.07619115
2024-11-17,传统能源,0.047494315
2024-11-17,化工,0.2961798
2024-11-17,医药,0.017740017
2024-11-17,半导体与信息技术,0.13006192
2024-11-17,房地产,0.017740017
2024-11-17,旅游,0.34394914
2024-11-17,消费,0.04897681
2024-11-17,电动车新能源,0.017740017
2024-11-17,金融,0.017740017
2024-11-17,高端装备,0.062378004
2024-11-24,传统能源,0.16322581
2024-11-24,化工,0.2273711
2024-11-24,医药,0.17186648
2024-11-24,半导体与信息技术,0.04282583
2024-11-24,房地产,0.031099794
2024-11-24,旅游,0.10306885
2024-11-24,消费,0.073651545
2024-11-24,电动车新能源,0.011264738
2024-11-24,金融,0.10719835
2024-11-24,高端装备,0.0684275
2024-12-01,传统能源,0.13067599
2024-12-01,化工,0.00509211
2024-12-01,医药,0.13067599
2024-12-01,半导体与信息技术,0.09710876
2024-12-01,房地产,0.14865425
2024-12-01,旅游,0.2537746
2024-12-01,消费,0.0055080545
2024-12-01,电动车新能源,0.10292237
2024-12-01,金融,0.0009945742
2024-12-01,高端装备,0.124593295
2024-12-08,传统能源,0.08351133
2024-12-08,化工,0.12355668
2024-12-08,医药,0.11405022
2024-12-08,半导体与信息技术,0.2010506
2024-12-08,房地产,0.028540986
2024-12-08,旅游,0.058939874
2024-12-08,消费,0.08434761
2024-12-08,电动车新能源,0.09205231
2024-12-08,金融,0.09998558
2024-12-08,高端装备,0.11396479
2024-12-15,传统能源,0.12230676
2024-12-15,化工,0.028538741
2024-12-15,医药,0.13288821
2024-12-15,半导体与信息技术,0.14907491
2024-12-15,房地产,0.0008167727
2024-12-15,旅游,0.086977355
2024-12-15,消费,0.0052345293
2024-12-15,电动车新能源,0.14907491
2024-12-15,金融,0.0041972925
2024-12-15,高端装备,0.3208905
2024-12-22,传统能源,0.07344691
2024-12-22,化工,0.007930031
2024-12-22,医药,0.06311971
2024-12-22,半导体与信息技术,0.009889703
2024-12-22,房地产,0.007930031
2024-12-22,旅游,0.60626495
2024-12-22,消费,0.008965951
2024-12-22,电动车新能源,0.20061643
2024-12-22,金融,0.0015431453
2024-12-22,高端装备,0.020293046
2024-12-29,传统能源,0.03506857
2024-12-29,化工,0.032501202
2024-12-29,医药,0.0658286
2024-12-29,半导体与信息技术,0.0645344
2024-12-29,房地产,0.11513611
2024-12-29,旅游,0.042947397
2024-12-29,消费,0.2529592
2024-12-29,电动车新能源,0.11513611
2024-12-29,金融,0.103121124
2024-12-29,高端装备,0.17276728
2025-01-05,传统能源,0.05149085
2025-01-05,化工,0.1665167
2025-01-05,医药,0.07237675
2025-01-05,半导体与信息技术,0.18676066
2025-01-05,房地产,0.03391166
2025-01-05,旅游,0.090659246
2025-01-05,消费,0.032936953
2025-01-05,电动车新能源,0.07237675
2025-01-05,金融,0.1906068
2025-01-05,高端装备,0.10236357
