industry,period,S_adjusted,M,return
高端装备,2024-04-24,8.881784197001252e-16,-0.6477801894859537,0.003097802035698649
传统能源,2024-04-25,-4.440892098500626e-16,-0.6517740899113974,0.007106118029236663
化工,2024-04-25,0.0,-0.6517740899113974,0.002714164546225417
医药,2024-04-25,0.0,-0.6517740899113974,0.003714285714285781
半导体与信息技术,2024-04-25,-4.440892098500626e-16,-0.6517740899113974,-0.003437902879243615
房地产,2024-04-25,4.440892098500626e-16,-0.6517740899113974,0.006439586510760931
旅游,2024-04-25,-4.440892098500626e-16,-0.6517740899113974,0.003314598645338007
消费,2024-04-25,4.440892098500626e-16,-0.6517740899113974,-0.001968959925874314
电动车新能源,2024-04-25,-4.440892098500626e-16,-0.6517740899113974,0.0032997077401717423
金融,2024-04-25,0.0,-0.6517740899113974,0.01015733917546302
高端装备,2024-04-25,1.1102230246251563e-16,-0.6517740899113974,-0.0025000000000000577
传统能源,2024-04-26,0.0,-0.6377530461728403,-0.0002687991398426792
化工,2024-04-26,-2.5939564375679094,-0.6377530461728403,0.015564202334630295
医药,2024-04-26,-2.5939564375679094,-0.6377530461728403,0.02163393111300871
半导体与信息技术,2024-04-26,-1.933420975025012,-0.6377530461728403,0.029969814575248055
房地产,2024-04-26,-1.933420975025012,-0.6377530461728403,0.04234719649772689
旅游,2024-04-26,-3.3487833611626776,-0.6377530461728403,0.014220051709278758
消费,2024-04-26,-4.323260729279849,-0.6377530461728403,0.013577811303237652
电动车新能源,2024-04-26,-1.933420975025012,-0.6377530461728403,0.02424356323999244
金融,2024-04-26,-3.3487833611626776,-0.6377530461728403,0.006506309148264888
高端装备,2024-04-26,-2.5939564375679094,-0.6377530461728403,0.01680672268907557
传统能源,2024-04-28,-3.3306690738754696e-16,,0.0
化工,2024-04-28,0.0,,0.0
医药,2024-04-28,0.0,,0.0
半导体与信息技术,2024-04-28,2.220446049250313e-16,,0.0
房地产,2024-04-28,2.220446049250313e-16,,0.0
旅游,2024-04-28,2.220446049250313e-16,,0.0
消费,2024-04-28,6.661338147750939e-16,,0.0
电动车新能源,2024-04-28,0.0,,0.0
金融,2024-04-28,1.1102230246251563e-16,,0.0
高端装备,2024-04-28,0.0,,0.0
传统能源,2024-04-29,0.0,-0.6226376071665575,-0.018081602473616898
化工,2024-04-29,2.7755575615628914e-16,-0.6226376071665575,0.02881892387139784
医药,2024-04-29,4.440892098500626e-16,-0.6226376071665575,0.02563388130398425
半导体与信息技术,2024-04-29,0.0,-0.6226376071665575,0.026585723257274374
房地产,2024-04-29,0.0,-0.6226376071665575,0.06316129553347882
旅游,2024-04-29,6.661338147750939e-16,-0.6226376071665575,0.012746069961761863
消费,2024-04-29,-4.440892098500626e-16,-0.6226376071665575,0.005037783375315019
电动车新能源,2024-04-29,0.0,-0.6226376071665575,0.03944954128440359
金融,2024-04-29,-4.440892098500626e-16,-0.6226376071665575,0.009500489715964733
高端装备,2024-04-29,0.0,-0.6226376071665575,0.02595331303465276
传统能源,2024-04-30,-15.446106803483378,-0.616682688932433,0.010473713033953835
化工,2024-04-30,-7.226675003127758,-0.616682688932433,-0.011172279792746154
医药,2024-04-30,6.194292859823795,-0.616682688932433,-0.0024449877750609694
半导体与信息技术,2024-04-30,2.0555259213123094,-0.616682688932433,-0.009991843393148514
